team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,first_name,second_name
3.0,1.0,47.0,2.0,143.0,0.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,28.8,0.0,0.0,2.9,0.2,3,1,48,19,380,4.0,0,0,0,2,3,0,0,0,0,0,9,1,86,75.8,0.0,0,7.7,0.2,David,Ospina
3.0,1.0,54.0,134.0,3097.0,24.8,0.0,0.0,0.0,12.0,37.0,1.0,0.0,0.0,2.0,0.0,115.0,2.0,660.0,819.8,0.1,0.0,82.0,13.7,3,1,53,124,3039,23.4,0,0,1,11,48,0,1,0,1,0,90,7,627,722.4,0.0,0,71.9,4.5,Petr,Cech
3.0,1.0,39.0,8.0,180.0,2.1,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,35.0,30.6,0.0,0.0,3.1,0.6,3,1,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.6,Damian Emiliano,Martinez
3.0,2.0,61.0,121.0,2821.0,19.8,2.0,1.0,3.0,10.0,37.0,0.0,0.0,0.0,4.0,1.0,0.0,19.0,723.0,831.2,53.9,239.0,112.7,11.2,3,2,60,100,2225,16.7,2,0,3,9,32,0,0,0,4,0,0,16,556,692.0,123.8,137,95.5,1.5,Laurent,Koscielny
3.0,2.0,48.0,1.0,38.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.8,0.1,0.0,1.8,0.2,3,2,47,16,364,3.4,1,0,1,0,7,0,0,0,0,0,0,2,81,119.6,3.0,38,16.1,0.5,Per,Mertesacker
3.0,2.0,48.0,45.0,1517.0,9.4,0.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,296.0,295.8,84.5,119.0,50.0,0.8,3,2,50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.1,Gabriel Armando,de Abreu
3.0,2.0,65.0,119.0,2503.0,18.3,1.0,5.0,2.0,10.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,569.0,437.6,508.3,395.0,133.8,13.9,3,2,59,132,3050,22.4,2,4,2,12,44,0,0,0,5,0,0,11,656,554.0,561.0,484,160.1,10.3,Héctor,Bellerín
3.0,2.0,48.0,2.0,82.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.4,2.0,0.0,2.1,0.1,3,2,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.2,Carl,Jenkinson
3.0,2.0,59.0,115.0,3153.0,19.5,0.0,3.0,1.0,11.0,43.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,681.0,554.0,280.3,220.0,105.8,6.4,3,2,57,130,2241,22.8,5,2,3,10,29,0,0,0,3,0,0,15,604,693.6,238.7,305,124.0,8.0,Nacho,Monreal
3.0,2.0,41.0,32.0,810.0,7.8,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,171.0,172.0,49.2,100.0,32.2,3.3,3,2,44,27,819,6.1,0,1,0,3,17,0,0,0,3,0,0,1,196,212.2,39.3,24,27.5,0.7,Rob,Holding
3.0,2.0,58.0,90.0,2274.0,15.5,2.0,2.0,1.0,8.0,30.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,513.0,598.2,159.7,364.0,112.4,1.4,3,2,54,109,2272,20.2,3,1,2,10,30,0,0,0,6,0,0,13,610,836.6,129.9,202,117.0,4.2,Shkodran,Mustafi
,,,,,,,,,,,,,,,,,,,,,,,,3,2,58,108,2146,18.6,2,4,2,10,30,0,0,0,3,0,0,6,510,443.2,334.9,404,118.3,6.1,Sead,Kolasinac
3.0,3.0,95.0,167.0,2841.0,17.6,8.0,11.0,3.0,12.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,729.0,834.4,1649.3,734.0,322.0,7.5,3,3,93,112,2161,12.0,4,9,2,8,36,0,0,0,4,0,0,11,506,640.6,1287.5,555,248.6,2.1,Mesut,Özil
3.0,3.0,70.0,38.0,618.0,5.4,2.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,159.0,198.2,221.7,89.0,50.8,1.4,3,3,69,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.1,Santiago,Cazorla
